food_id,calorie,protein,carb,sugar,fiber,saturated_fat,cholesterol,sodium,calcium,phosphorus,potassium,iron,folic_acid,vitamin_c,vitamin_d,vitamin_b12,low_calorie,high_calorie,low_protein,high_protein,low_carb,high_carb,low_sugar,high_sugar,low_fiber,high_fiber,low_saturated_fat,high_saturated_fat,low_cholesterol,high_cholesterol,low_sodium,high_sodium,low_calcium,high_calcium,low_phosphorus,high_phosphorus,low_potassium,high_potassium,low_iron,high_iron,low_folic_acid,high_folic_acid,low_vitamin_c,high_vitamin_c,low_vitamin_d,high_vitamin_d,low_vitamin_b12,high_vitamin_b12
0091745020,395.2783113676823,0.0,98.00107514883867,62.91635453052869,0.0,0.0,0.0,36.93754932894299,1.2656293980086368,1.2656293980086368,3.733016963779263,0.30613615772453706,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0092410710,41.03619039983137,0.0,10.600139176304786,10.600139176304786,0.0,0.0,0.0,12.959341029364076,5.003215527811352,0.0,0.9976208577199599,0.05020639467235898,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
0071201010,545.7360438380227,6.5629723602017895,50.06318499383143,1.741626934610497,4.383134549499777,8.901914497852003,0.0,525.0808209409208,24.19126857245213,154.95143227822788,1642.5786591551403,1.613472914762293,0.0,18.597233087543895,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
0025230230,109.66094722300598,17.589882001690853,1.129723695516375,0.15414824130448318,0.0,0.8261982134546335,43.59748546239665,1160.9344593186404,6.276531929735228,261.468180299739,532.5591951783454,0.6709062256542326,0.0,0.0,0.6981343012231908,0.44373921785285636,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
0051301010,268.1537586838989,10.461368531304906,48.15903311615682,5.827804507420497,3.9783691850343685,0.7894835780630478,0.0,509.969637539256,131.7065600718099,147.76027014731173,175.92607101904736,3.492356344107475,23.73939291078275,0.19094440049196898,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0083110000,351.387407117583,0.8142684835823811,21.375142759999658,7.403698059381652,0.0,4.483044007951783,23.89471992737084,695.5267260812664,10.834800874382411,22.501558199888876,13.89712541309046,0.1936720521877482,0.0,0.0,0.0017102217990627555,0.16851954201403355,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0054403020,561.7722656573984,7.515626452416749,49.56802348303314,0.41610046841449577,8.380010412241765,11.05707176604893,11.7527837480194,853.8390307183414,12.45121985809548,213.42249560702422,239.88906383532841,1.9327054696277515,0.0,0.13342866097871658,0.02515337381980224,0.005711046035507192,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0092541010,32.14249514668928,0.0,8.251703234343553,8.115557492941464,0.0,0.0077531104165142395,0.0,10.465594160094525,9.241186412713548,4.011500848779251,1.8201763963372652,0.029067294388223114,0.0,6.974127679044623,0.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0054408010,381.42096455631133,10.242332115641254,79.79968431845116,2.6300948250749854,3.1090191206634774,0.48464357192080293,0.0,1311.9048705325715,20.438190729935837,117.62752116325207,170.9574499341869,5.13260960377623,142.67464560349634,0.35348758585567547,0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0053239000,506.4714712771395,5.825106107554798,64.23142144948676,17.581297731432272,1.6283307645999758,6.8676198482292525,12.509331185246591,422.16218644888875,26.73214760691813,91.93936753541202,95.54154417240755,2.832964975263045,61.008818156954405,0.0,0.012629694334791422,0.057228939340704235,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
